word,length,arousal,valence,dominance,concreteness,imageability,familiarity,aoa,semsize,gender
nail (hammer),4,4.333,4.765,5.939,6.559,6.667,5.765,3.294,1.971,5.824
novel (book),5,5.088,6.118,5.343,6.182,6.314,6.333,3.886,3.235,3.177
novel (new),5,5.353,6.242,5.559,3.265,2.758,3.788,6.382,4.353,3.273
nut (bolt),3,3.000,4.794,4.971,6.353,6.242,4.618,4.029,1.697,5.667
nut (crazy person),3,5.794,2.853,4.324,2.697,4.457,4.969,4.514,4.412,4.485
nut (food),3,3.875,5.697,6.000,6.406,6.758,6.441,2.171,2.147,4.000
nuts (bolts),4,3.429,4.853,5.400,6.429,6.400,4.514,4.171,1.657,5.800
nuts (crazy),4,5.971,3.314,3.886,2.543,4.229,5.059,3.857,4.441,3.629
nuts (food),4,3.818,6.094,5.406,6.667,6.667,6.212,2.303,2.063,4.394
nuts (testicles),4,5.714,4.743,5.686,6.486,6.429,5.486,5.647,2.914,6.857
object (disagree),6,4.912,3.265,6.206,2.677,3.029,5.059,5.177,4.765,4.794
object (thing),6,3.118,5.057,5.686,6.177,5.265,5.971,2.765,3.457,3.882
orange (colour),6,5.735,6.171,5.543,5.714,6.824,6.382,1.882,4.029,3.571
orange (fruit),6,4.412,6.143,5.400,6.657,6.886,6.485,1.886,2.343,3.714
organ (liver),5,3.706,5.471,5.324,6.647,6.152,5.774,4.485,3.818,4.559
organ (piano),5,4.794,5.714,5.781,6.314,6.618,4.938,4.177,5.029,3.853
over (above),4,4.152,5.939,6.758,3.939,4.152,6.156,2.849,4.906,4.091
over (cricket),4,2.414,5.000,5.000,3.821,3.241,1.857,6.222,3.241,5.094
over (finished),4,3.765,4.324,4.714,3.794,2.914,6.182,3.000,4.294,4.500
pack (fill),4,3.606,5.000,5.265,4.824,4.364,5.250,3.177,3.912,4.324
pack (group),4,4.143,5.314,4.941,5.000,4.824,4.667,4.200,5.382,5.257
page (call),4,3.281,4.735,5.515,4.206,3.971,3.727,5.794,2.719,3.882
page (paper),4,3.063,5.500,5.355,6.500,6.242,6.281,2.323,3.000,3.758
page (ward),4,3.040,4.962,4.696,4.917,4.192,2.714,5.455,3.539,4.040
pan (camera),3,4.516,5.323,5.719,4.871,5.094,4.000,5.931,3.677,4.250
pan (criticise),3,4.143,2.433,4.200,2.655,2.733,2.743,6.035,4.179,3.630
pan (pot),3,2.788,5.219,5.606,6.576,6.697,6.250,2.125,2.939,3.424
park (car),4,2.936,4.903,5.594,5.406,5.613,6.207,3.030,3.688,4.563
park (public land),4,5.057,6.543,5.429,6.500,6.588,6.294,2.257,5.800,4.114
part (divide),4,4.125,4.212,4.618,3.567,4.229,4.938,4.057,3.424,3.939
part (portion),4,3.656,4.849,4.697,4.500,4.912,5.515,3.147,2.688,4.059
party (celebration),5,7.559,8.147,6.543,5.606,6.303,6.333,2.343,5.333,3.606
party (group),5,6.063,6.457,5.324,5.514,5.800,5.588,3.486,5.057,3.914
